Regulator Effects for My Projects->June2014->ProprietaryMultipleRankDataSet - 2014-04-29 10:39 AM
Consistency Score	Node Total	Regulator Total	Regulators	Target Total	Target Molecules in Dataset	Disease & Function Total	Diseases & Functions	Known Regulator-Disease/Function Relationships
2.309	14	1	PDGF BB	12	ADRA1D,ATF3,CDKN1A,CYR61,DUSP1,FLT1,GDNF,HMOX1,MT1E,MT1H,PPARG,VEGFA	1	failure of kidney	0% (0/1)	
2.309	5	1	FGFR1	3	CDKN1A,FGF2,HES1	1	self-renewal of cells	100% (1/1)	
2.309	5	1	TGFB3	3	CDKN1A,FOS,VEGFA	1	neonatal death	100% (1/1)	
2.268	9	1	deferoxamine	7	BCL2,CDKN1A,CTNNB1,FOS,GADD45A,HSPA1A/HSPA1B,MYC	1	cell death of cervical cancer cell lines	0% (0/1)	
2.268	9	1	methamphetamine	7	BAX,BCL2,EGR1,FAS,JUN,MYC,TNFRSF1A	1	apoptosis of fibroblast cell lines	0% (0/1)	
2.268	9	1	methamphetamine	7	ABCC1,BAX,BCL2,FAS,FOS,MYC,TNFRSF1A	1	apoptosis of kidney cell lines	0% (0/1)	
2.268	9	1	Jnk	7	BAX,DDIT3,FAS,FOS,GADD45A,JUN,MYC	1	apoptosis of cervical cancer cell lines	100% (1/1)	
2.268	9	1	5-fluorouracil	7	BAX,BCL2,CDKN1A,FAS,MCL1,MYC,RAF1	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.268	9	1	EGR2	7	FGF2,FOS,HOXB3,IL6R,JUN,SMAD1,VEGFA	1	development of connective tissue	0% (0/1)	
2.236	7	1	BMP4	5	HEY1,ID3,SMAD5,TP63,VEGFA	1	Bleeding	0% (0/1)	
2.236	7	1	UCN-01	5	BAG1,BCL2,CDKN1A,MCL1,RAF1	1	cell death of cervical cancer cell lines	0% (0/1)	
2.236	7	1	miR-125b-5p (and other miRNAs w/seed CCCUGAG)	5	E2F3,ELAVL1,ID2,ID3,JUN	1	proliferation of muscle cells	0% (0/1)	
2.236	7	1	miR-503-5p (miRNAs w/seed AGCAGCG)	5	ATF6,CDC25A,CDKN1A,FGF2,FGFR1	1	organismal death	0% (0/1)	
2.236	7	1	mitomycin C	5	BAX,CDKN1A,FAS,GADD45A,JUN	1	apoptosis of cervical cancer cell lines	100% (1/1)	
2.236	7	1	amphetamine	5	ATF3,BAX,BCL2,EGR1,JUN	1	apoptosis of fibroblast cell lines	0% (0/1)	
2.236	7	1	CHRM1	5	ACHE,CYR61,EGR3,FOS,JUN	1	organismal death	0% (0/1)	
2.236	7	1	crocidolite asbestos	5	FOS,GADD45A,JUN,MYC,TNFRSF1A	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.236	7	1	NREP	5	FGF2,PDGFA,PDGFB,PDGFRB,VEGFA	1	organismal death	0% (0/1)	
2.236	7	1	NREP	5	FGF2,PDGFA,PDGFB,PDGFRB,VEGFA	1	quantity of cells	0% (0/1)	
2.236	7	1	NREP	5	FGF2,PDGFA,PDGFB,PDGFRB,VEGFA	1	proliferation of tumor cell lines	0% (0/1)	
2.236	7	1	carbamylcholine	5	BTG2,CHUK,EGR1,JUN,VEGFA	1	Viral Infection	0% (0/1)	
2.236	7	1	IL1B	5	FAS,LIF,MT1E,MT1H,RELA	1	bleeding of liver	0% (0/1)	
2.236	7	1	gentamicin	5	BAX,DDIT3,GADD45A,JUN,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.236	7	1	RPS6KA5	5	DUSP1,FOS,JUN,JUNB,MYC	1	quantity of cells	0% (0/1)	
2.236	7	1	DACH1	5	CDKN1A,FGF2,FOS,JUN,KLF4	1	proliferation of breast cancer cell lines	0% (0/1)	
2.236	7	1	dibutyl phthalate	5	JUN,JUNB,MYC,POR,RELA	1	vasculogenesis	0% (0/1)	
2.236	7	1	5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol	5	ATF3,CCL7,CXCL2,HBEGF,SDC4	1	development of blood vessel	0% (0/1)	
2.236	7	1	F7	5	EGR1,GADD45A,LIF,MYC,ZFP36	1	Growth Failure	0% (0/1)	
2.236	7	1	lipopolysaccharide	5	FAS,LIF,MT1E,MT1H,RELA	1	bleeding of liver	100% (1/1)	
2.236	7	1	beta-1,3-glucan	5	FGF2,ITGB3,PDGFA,PDGFB,VEGFA	1	quantity of cells	0% (0/1)	
2.236	7	1	lisinopril	5	FOS,JUN,PDGFA,PDGFRB,VEGFA	1	quantity of cells	0% (0/1)	
2.214	12	1	celecoxib	10	BAX,BCL2,CDKN1A,DDIT3,FAS,GADD45A,MCL1,RAF1,RIPK1,TNFRSF1B	1	cell death of cervical cancer cell lines	100% (1/1)	
2.121	4	1	PRDX2	2	AR,BAX	1	metastasis	100% (1/1)	
2.121	4	1	TNFRSF1A	2	CDKN1A,JUN	1	apoptosis of cervical cancer cell lines	100% (1/1)	
2.121	4	1	FGFR1	2	CDKN1A,HES1	1	congenital anomaly of musculoskeletal system	100% (1/1)	
2.041	8	1	vitamin K3	6	BAX,BCL2,DDIT3,FAS,FOS,MYC	1	apoptosis of cervical cancer cell lines	100% (1/1)	
2.041	8	1	vitamin K3	6	BAX,BCL2,DDIT3,FAS,FOS,MYC	1	apoptosis of hepatoma cell lines	0% (0/1)	
2.041	8	1	quinolinic acid	6	BAX,BCL2,EGR1,JUN,MYC,NGF	1	apoptosis of fibroblast cell lines	0% (0/1)	
2.041	8	1	quinolinic acid	6	BAX,BCL2,CAT,FOS,JUN,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.041	8	1	ELAVL1	6	CDKN1A,FOS,HMOX1,MYOD1,MYOG,VEGFA	1	perinatal death	0% (0/1)	
2.041	8	1	ELAVL1	6	ATF3,CDKN1A,DUSP1,FOS,HMOX1,VEGFA	1	apoptosis of neurons	0% (0/1)	
2.041	8	1	PDGFC	6	CTNNB1,FGF2,FLT1,MYC,PDGFRB,VEGFA	1	quantity of cells	100% (1/1)	
2.041	8	1	PDGFC	6	CTNNB1,FGF2,FLT1,MYC,PDGFRB,VEGFA	1	proliferation of tumor cell lines	100% (1/1)	
2.041	8	1	BMP2	6	ATF6,BCL2,CDKN1A,ID2,JUN,MYC	1	apoptosis of fibroblast cell lines	0% (0/1)	
2.041	8	1	salmonella minnesota R595 lipopolysaccharides	6	CCL7,CXCL2,EGR1,JUN,JUNB,NFKBIA	1	vasculogenesis	0% (0/1)	
2.041	8	1	INS	6	CAT,CDKN1A,DDIT3,FAS,FOS,JUN	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.041	8	1	MAP3K1	6	ATF3,COL4A1,FAS,FOS,HMOX1,RGS4	1	metastasis	0% (0/1)	
2.041	8	1	nitric oxide	6	AGTR1,ATF3,CTGF,DUSP1,IER3,IL18	1	hypertrophy of cardiomyocytes	100% (1/1)	
2.000	6	1	FGF1	4	CDKN1A,JUN,PDGFA,TNFRSF12A	1	formation of muscle	0% (0/1)	
2.000	6	1	miR-21-5p (and other miRNAs w/seed AGCUUAU)	4	BTG2,CDKN1A,FAS,PIK3R1	1	apoptosis of neurons	0% (0/1)	
2.000	6	1	sphingosine-1-phosphate	4	FGF2,FOS,JUN,PDGFB	1	proliferation of muscle cells	100% (1/1)	
2.000	6	1	H-7	4	FAS,FOS,MYC,SMAD3	1	apoptosis of hepatoma cell lines	0% (0/1)	
2.000	6	1	miR-29b-3p (and other miRNAs w/seed AGCACCA)	4	KLF4,PIK3R1,SRSF10,TGFB3	1	perinatal death	0% (0/1)	
2.000	6	1	miR-29b-3p (and other miRNAs w/seed AGCACCA)	4	COL4A1,PURA,SRSF10,ZFP36L1	1	Growth Failure	0% (0/1)	
2.000	11	1	SU6656	9	ATF3,CCL7,CTGF,EGR1,GDNF,JUNB,MYC,VEGFA,ZFP36L1	1	vasculogenesis	0% (0/1)	
2.000	6	1	tempol	4	CAT,CXCL2,RELA,SGK1	1	quantity of cells	0% (0/1)	
2.000	6	1	MYF5	4	CDKN1A,MYOD1,MYOG,PDGFA	1	organismal death	100% (1/1)	
2.000	6	1	pirfenidone	4	CAT,SMAD2,SMAD3,SMAD4	1	apoptosis of hepatoma cell lines	0% (0/1)	
2.000	6	1	WR 1065	4	CDKN1A,GADD45A,MYC,ZFP36L1	1	Growth Failure	0% (0/1)	
2.000	6	1	di(2-ethylhexyl) phthalate	4	EGR1,MYC,POR,ZFP36	1	Growth Failure	0% (0/1)	
2.000	6	1	RBL1	4	FGF2,FOXN1,HES1,MYC	1	Hypoplasia	0% (0/1)	
2.000	6	1	methylnitronitrosoguanidine	4	BAX,CDKN1A,FAS,GADD45A	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.000	6	1	phencyclidine	4	BAX,BCL2,FOS,RGS4	1	apoptosis of kidney cell lines	0% (0/1)	
2.000	6	1	Endothelin	4	FOS,JUN,MYC,RELA	1	quantity of cells	100% (1/1)	
2.000	6	1	Endothelin	4	FOS,JUN,MYC,RELA	1	proliferation of tumor cell lines	0% (0/1)	
2.000	6	1	IFNG	4	FAS,LIF,MT1E,RELA	1	bleeding of liver	0% (0/1)	
2.000	6	1	GNRH	4	ATF3,EGR1,JUN,RAP1B	1	vasculogenesis	0% (0/1)	
2.000	6	1	RHOA	4	CDKN1A,FOS,JUN,MYOG	1	proliferation of muscle cells	100% (1/1)	
2.000	6	1	JAG1	4	CDKN1A,HEY1,HEYL,PDGFRB	1	quantity of muscle cells	0% (0/1)	
2.000	6	1	IL6	4	FAS,LIF,MT1E,MT1H	1	bleeding of liver	0% (0/1)	
2.000	6	1	TOPBP1	4	ABL1,BAX,CDKN1A,GADD45A	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.000	6	1	DDX5	4	BAX,CDKN1A,JUN,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.000	6	1	FSH	4	FGF2,FGFR1,SMAD5,VEGFA	1	vascularization of extraembryonic tissue	0% (0/1)	
2.000	6	1	SERCA	4	BTG2,EGR1,JUN,MYC	1	Viral Infection	0% (0/1)	
2.000	6	1	ST3-Hel2A-2	4	DDIT3,FOS,GADD45A,IER3	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.000	6	1	rituximab	4	BAX,BCL2,CDKN1A,FAS	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.000	6	1	NOG	4	FAS,ID3,SMAD5,VEGFA	1	Bleeding	0% (0/1)	
2.000	6	1	L-glutamic acid	4	FGF2,FOS,JUN,RHOA	1	formation of embryonic tissue	0% (0/1)	
2.000	6	1	cadmium	4	CDKN1A,HMOX1,MT1E,MT1H	1	failure of kidney	0% (0/1)	
2.000	6	1	adenosine	4	FOS,HMOX1,RELA,VEGFA	1	perinatal death	0% (0/1)	
2.000	6	1	doxifluridine	4	BAX,CDKN1A,FAS,GADD45A	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.000	6	1	leukotriene D4	4	ADAMTS1,CYR61,HBEGF,KLF4	1	proliferation of breast cancer cell lines	0% (0/1)	
2.000	6	1	JAK2	4	BAX,CDKN1A,FOS,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.000	6	1	RPS6KA4	4	DUSP1,FOS,JUN,JUNB	1	quantity of cells	0% (0/1)	
2.000	6	1	IKBKAP	4	CTNNB1,FLT1,RHOA,VEGFA	1	quantity of cells	0% (0/1)	
2.000	6	1	IKBKAP	4	CTNNB1,FLT1,RHOA,VEGFA	1	proliferation of tumor cell lines	0% (0/1)	
2.000	6	1	IKBKAP	4	CTNNB1,FLT1,RHOA,VEGFA	1	proliferation of muscle cells	0% (0/1)	
2.000	6	1	ELAVL1	4	ATF3,DUSP1,MYOD1,VEGFA	1	hypertrophy of cells	0% (0/1)	
2.000	6	1	lipopolysaccharide	4	HMOX1,MAFB,MT1E,MT1H	1	apoptosis of renal tubule	0% (0/1)	
1.890	9	1	propofol	7	AQP4,BAX,BCL2,FOS,HMGB1,HMOX1,ZFP36	1	organismal death	0% (0/1)	
1.890	9	1	carbon tetrachloride	7	CDKN1A,CREBBP,JUN,PDGFA,PDGFB,TGFBR1,TNFRSF12A	1	formation of muscle	0% (0/1)	
1.890	9	1	BRCA1	7	AR,DDIT3,FAS,NFE2L2,SMAD3,TP63,VEGFA	1	Bleeding	0% (0/1)	
1.890	9	1	LIF	7	FOS,HBEGF,HEY1,JUN,PPARG,VEGFA,WNT5A	1	development of connective tissue	0% (0/1)	
1.890	9	1	nitric oxide	7	AGTR1,ATF3,CTGF,DUSP1,IER3,IL18,JUN	1	hypertrophy of heart cells	100% (1/1)	
1.789	7	1	NPR1	5	ACE,NFATC3,RGS4,SLC9A1,TGFB3	1	organismal death	100% (1/1)	
1.789	7	1	morphine	5	BAX,BCL2,FAS,FOS,MAP2K1	1	apoptosis of kidney cell lines	0% (0/1)	
1.789	7	1	IRF8	5	FAS,ID3,IL18,LIF,MAFB	1	Bleeding	0% (0/1)	
1.789	7	1	IL24	5	BAX,BCL2,DDIT3,FAS,MCL1	1	apoptosis of hepatoma cell lines	100% (1/1)	
1.789	7	1	F2R	5	CYR61,EGR1,FLT1,HMOX1,RHOA	1	cell death of fibroblast cell lines	0% (0/1)	
1.789	7	1	Igm	5	BCL2,CDKN1A,FAS,MCL1,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.789	7	1	Stat3-Stat3	5	CDKN1A,JUN,MYC,VEGFA,WNT5A	1	organismal death	0% (0/1)	
1.789	7	1	Stat3-Stat3	5	CDKN1A,JUN,MYC,VEGFA,WNT5A	1	angiogenesis	0% (0/1)	
1.789	7	1	vitamin E	5	BAX,BCL2,CDKN1A,EGR1,TNFRSF1A	1	apoptosis of fibroblast cell lines	0% (0/1)	
1.789	7	1	vitamin E	5	BAX,BCL2,CAT,CDKN1A,TNFRSF1A	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.789	7	1	pCPT-cAMP	5	EGR1,FOS,JUN,JUNB,NR4A1	1	proliferation of tumor cell lines	0% (0/1)	
1.789	7	1	8-bromo-cAMP	5	CTGF,FGF2,FOS,JUN,VEGFA	1	development of connective tissue	0% (0/1)	
1.789	7	1	fluoride	5	BAX,DDIT3,FAS,FOS,GADD45A	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.789	7	1	N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine	5	CTNNB1,FOS,GSK3B,MYC,SLC9A1	1	proliferation of tumor cell lines	100% (1/1)	
1.789	7	1	medroxyprogesterone acetate	5	BAX,BCL2,FAS,FOXO1,MYC	1	apoptosis of kidney cell lines	0% (0/1)	
1.789	7	1	platelet activating factor	5	CDKN1A,FGF2,FOS,NFKBIA,VEGFA	1	proliferation of breast cancer cell lines	0% (0/1)	
1.789	7	1	NR1I3	5	CDKN1A,MYC,NEDD4,POR,PTPN11	1	Growth Failure	0% (0/1)	
1.789	7	1	TNF	5	FAS,LIF,MT1E,MT1H,RELA	1	bleeding of liver	0% (0/1)	
1.768	10	1	NRG1	8	BCL2,CDKN1A,DDIT3,FOS,IER3,MCL1,MYC,NR4A1	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.768	10	1	TGFBR2	8	AR,CDKN1A,FST,JUN,PDGFB,SMAD3,THBD,VEGFA	1	quantity of muscle cells	0% (0/1)	
1.732	5	1	amino acids	3	DDIT3,FOS,JUN	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	CRY2	3	FOS,PER1,PER2	1	quantity of cells	100% (1/1)	
1.732	5	1	bardoxolone	3	CDKN1A,CEBPG,HMOX1	1	perinatal death	0% (0/1)	
1.732	5	1	bardoxolone	3	CDKN1A,DDIT3,NFKBIA	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	XBP1	3	DDIT3,FAS,HMOX1	1	injury of liver	0% (0/1)	
1.732	5	1	CSK	3	NPPA,PTK2,SRC	1	hypertrophy of cells	0% (0/1)	
1.732	5	1	CSF2RA	3	JUN,JUNB,MYC	1	vasculogenesis	0% (0/1)	
1.732	5	1	CSF2RA	3	JUN,JUNB,MYC	1	angiogenesis	0% (0/1)	
1.732	5	1	CSF2RA	3	FOS,JUN,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	IGFBP5	3	BAX,BCL2,TNFRSF1A	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	fludarabine	3	CDKN1A,FAS,MCL1	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	SP600125	3	CDKN1A,JUN,RGS4	1	formation of muscle	0% (0/1)	
1.732	5	1	formaldehyde	3	EGR1,JUN,JUNB	1	vasculogenesis	0% (0/1)	
1.732	5	1	formaldehyde	3	BAX,EGR1,JUN	1	apoptosis of fibroblast cell lines	0% (0/1)	
1.732	5	1	formaldehyde	3	FOS,JUN,JUNB	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	miR-140-5p (and other miRNAs w/seed AGUGGUU)	3	HDAC4,SMAD3,VEGFA	1	congenital anomaly of musculoskeletal system	0% (0/1)	
1.732	5	1	miR-140-5p (and other miRNAs w/seed AGUGGUU)	3	IGFBP5,SMAD3,VEGFA	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	SKF-38393	3	EGR1,FGF2,FOS	1	proliferation of tumor cell lines	100% (1/1)	
1.732	5	1	acetic acid	3	EGR1,JUN,JUNB	1	vasculogenesis	0% (0/1)	
1.732	5	1	acetic acid	3	FOS,JUN,JUNB	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	nimodipine	3	BAX,FOS,MYC	1	apoptosis of kidney cell lines	0% (0/1)	
1.732	5	1	pentobarbital	3	JUN,JUNB,NR4A1	1	vasculogenesis	0% (0/1)	
1.732	5	1	pentobarbital	3	JUN,JUNB,NR4A1	1	angiogenesis	0% (0/1)	
1.732	5	1	pentobarbital	3	FOS,JUN,NR4A1	1	development of connective tissue	0% (0/1)	
1.732	5	1	CAMK4	3	FOS,JUN,JUNB	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	cadmium chloride	3	DDIT3,HMOX1,NFE2L2	1	injury of liver	100% (1/1)	
1.732	5	1	mir-17	3	CDKN1A,FAS,JAK1	1	cell death of cervical cancer cell lines	0% (0/1)	
1.732	5	1	aplidine	3	JUN,JUNB,RELA	1	vasculogenesis	0% (0/1)	
1.732	5	1	aplidine	3	JUN,JUNB,RELA	1	angiogenesis	0% (0/1)	
1.732	5	1	leuprolide	3	BAX,BCL2,EGR1	1	apoptosis of fibroblast cell lines	0% (0/1)	
1.732	5	1	leuprolide	3	BAX,BCL2,SMAD7	1	apoptosis of kidney cell lines	100% (1/1)	
1.732	5	1	ACOX1	3	CDKN1A,GADD45A,HSD11B1	1	hyperplasia of kidney	0% (0/1)	
1.732	5	1	1,4-bis[2-(3,5-dichloropyridyloxy)]benzene	3	IL1R1,MT1E,NEDD4	1	Bleeding	0% (0/1)	
1.732	5	1	BAPTA-AM	3	CDKN1A,FOS,GDNF	1	neonatal death	0% (0/1)	
1.732	5	1	BAPTA-AM	3	CDKN1A,FOS,JUN	1	proliferation of breast cancer cell lines	0% (0/1)	
1.732	5	1	6,7-dinitroquinoxaline-2,3-dione	3	EGR1,JUN,JUNB	1	vasculogenesis	0% (0/1)	
1.732	5	1	sulforafan	3	FAS,MT1E,RELA	1	bleeding of liver	0% (0/1)	
1.732	5	1	FGF4	3	CDKN1A,FOS,VEGFA	1	neonatal death	0% (0/1)	
1.732	5	1	FGF4	3	CDKN1A,CTNNB1,VEGFA	1	congenital anomaly of musculoskeletal system	0% (0/1)	
1.732	5	1	pyruvic acid	3	BAX,FOS,VEGFA	1	neonatal death	0% (0/1)	
1.732	5	1	pyruvic acid	3	BAX,BCL2,FOS	1	apoptosis of kidney cell lines	0% (0/1)	
1.732	5	1	6-cyano-7-nitroquinoxaline-2,3-dione	3	EGR1,JUN,JUNB	1	vasculogenesis	0% (0/1)	
1.732	5	1	6-cyano-7-nitroquinoxaline-2,3-dione	3	FOS,JUN,JUNB	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	MST1R	3	CTNNB1,MYC,SMAD2	1	cell death of fibroblast cell lines	0% (0/1)	
1.732	5	1	NCOR1	3	CDKN1A,MYOD1,MYOG	1	neonatal death	0% (0/1)	
1.732	5	1	ELK1	3	CDKN1A,FOS,JUN	1	proliferation of breast cancer cell lines	100% (1/1)	
1.732	5	1	SMAD2	3	CDKN1A,HES1,SMAD7	1	self-renewal of cells	0% (0/1)	
1.732	5	1	ATF2	3	ATF3,DUSP1,NPPA	1	hypertrophy of cardiomyocytes	0% (0/1)	
1.732	5	1	MAP2K4	3	FOS,JUN,PPARG	1	development of connective tissue	0% (0/1)	
1.732	5	1	mitoxantrone	3	CDKN1A,FAS,MCL1	1	apoptosis of cervical cancer cell lines	100% (1/1)	
1.732	5	1	LY294002	3	FAS,LIF,RELA	1	bleeding of liver	0% (0/1)	
1.732	5	1	RGS2	3	HBEGF,IL18,PPARG	1	vasculogenesis	0% (0/1)	
1.732	5	1	RGS2	3	CEBPD,HBEGF,PPARG	1	proliferation of breast cancer cell lines	0% (0/1)	
1.732	5	1	PI3K (family)	3	DDIT3,HMOX1,NFE2L2	1	injury of liver	0% (0/1)	
1.732	5	1	NELFB	3	ATF3,CDKN1A,VEGFA	1	apoptosis of neurons	0% (0/1)	
1.732	5	1	26s Proteasome	3	BAX,CDKN1A,DDIT3	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	ELF4	3	CDKN1A,KLF4,RAP1B	1	perinatal death	0% (0/1)	
1.732	5	1	SPDEF	3	COL4A1,SMAD2,SMAD3	1	Bleeding	0% (0/1)	
1.732	5	1	Salmonella enterica serotype abortus equi lipopolysaccharide	3	CSF3,HES1,WNT5A	1	self-renewal of cells	0% (0/1)	
1.732	5	1	VitaminD3-VDR-RXR	3	CDKN1A,GADD45A,PDGFA	1	congenital anomaly of musculoskeletal system	0% (0/1)	
1.732	5	1	PLC	3	EGR3,FOS,MYC	1	quantity of blood cells	0% (0/1)	
1.732	5	1	PLC	3	EGR3,MYC,ODC1	1	vasculogenesis	0% (0/1)	
1.732	5	1	Notch	3	DUSP1,HES1,VEGFA	1	hypertrophy of cells	0% (0/1)	
1.732	5	1	WNT11	3	CTNNB1,MYOG,THBD	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	EPHB1	3	EGR1,JUN,JUNB	1	vasculogenesis	0% (0/1)	
1.732	5	1	EPHB1	3	FOS,JUN,JUNB	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	epothilone B	3	BTG2,CDKN1A,FAS	1	apoptosis of neurons	0% (0/1)	
1.732	5	1	epothilone B	3	CDKN1A,FAS,MCL1	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	TGFB1	3	ACE,GDNF,SMAD3	1	interstitial nephritis	0% (0/1)	
1.732	5	1	phorbol myristate acetate	3	FAS,LIF,RELA	1	bleeding of liver	0% (0/1)	
1.732	5	1	phorbol myristate acetate	3	ACE,NFAT5,SMAD3	1	interstitial nephritis	0% (0/1)	
1.732	5	1	S-nitroso-N-acetyl-DL-penicillamine	3	BCL2,IL18,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	S-nitroso-N-acetyl-DL-penicillamine	3	BNIP3,HMOX1,IL18	1	injury of liver	0% (0/1)	
1.732	5	1	PP1	3	FOS,JUN,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	TSC1	3	CTNNB1,DDIT3,HMOX1	1	injury of liver	0% (0/1)	
1.732	5	1	lysophosphatidic acid	3	FOS,JUN,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	lysophosphatidic acid	3	JUN,PDGFRB,VEGFA	1	quantity of muscle cells	0% (0/1)	
1.732	5	1	FGF2	3	CDKN1A,GADD45A,GDNF	1	hyperplasia of kidney	0% (0/1)	
1.732	5	1	2-amino-5-phosphonovaleric acid	3	EGR1,JUN,JUNB	1	vasculogenesis	0% (0/1)	
1.732	5	1	2-amino-5-phosphonovaleric acid	3	FOS,JUN,JUNB	1	proliferation of muscle cells	0% (0/1)	
1.732	5	1	ERN1	3	JUN,VEGFA,XBP1	1	Hypoplasia	100% (1/1)	
1.732	5	1	ATF6	3	DDIT3,FOS,MCL1	1	apoptosis of cervical cancer cell lines	0% (0/1)	
1.732	5	1	ATF6	3	DDIT3,FOS,MCL1	1	apoptosis of hepatoma cell lines	0% (0/1)	
1.732	5	1	IKBKAP	3	FLT1,RHOA,VEGFA	1	quantity of blood cells	0% (0/1)	
1.732	5	1	PI3K (family)	3	DDIT3,HMOX1,NFE2L2	1	damage of liver	0% (0/1)	
1.732	5	1	IL24	3	BAX,DDIT3,FAS	1	damage of liver	0% (0/1)	
1.732	5	1	fluoride	3	BAX,DDIT3,FAS	1	damage of liver	0% (0/1)	
1.732	5	1	S-nitroso-N-acetyl-DL-penicillamine	3	BNIP3,HMOX1,IL18	1	damage of liver	0% (0/1)	
1.732	5	1	PDGF BB	3	HMOX1,MT1E,MT1H	1	cell death of renal tubule	0% (0/1)	
1.732	5	1	cadmium	3	HMOX1,MT1E,MT1H	1	cell death of renal tubule	0% (0/1)	
1.732	5	1	NREP	3	FGF2,PDGFA,VEGFA	1	Hypertrophy	0% (0/1)	
1.732	5	1	TOPBP1	3	ABL1,BAX,CDKN1A	1	Hypertrophy	0% (0/1)	
1.732	5	1	MYF5	3	CDKN1A,MYOD1,PDGFA	1	Hypertrophy	0% (0/1)	
