Regulator Effects for My Projects->June2014->ProprietaryMultipleRankDataSet - 2014-04-29 10:39 AM
Consistency Score	Node Total	Regulator Total	Regulators	Target Total	Target Molecules in Dataset	Disease & Function Total	Diseases & Functions	Known Regulator-Disease/Function Relationships
9.383	36	12	amphetamine,BMP2,CD 437,F2R,GAST,GnRH-A,methamphetamine,miR-503-5p (miRNAs w/seed AGCAGCG),MST1R,RHOC,RORA,SB 216763	23	ATF3,ATF6,BAX,BCL2,CDKN1A,CTNNB1,CYR61,DDIT3,EGR1,FAS,FTH1,ID2,IGF1,JUN,MYC,NFKBIA,PIK3R1,RAC1,RHOA,SEMA3F,SRC,SRSF2,TNFRSF1A	1	apoptosis of fibroblast cell lines	8% (1/12)
9.285	41	10	bardoxolone,ELAVL1,ELF4,FGF4,IL3,pyruvic acid,seocalcitol,TGFB3,VHL,VitaminD3-VDR-RXR	29	BAX,CDKN1A,CEBPG,CITED2,COL1A2,CTGF,CTNNB1,FGFR1,FOS,GADD45A,HSPA5,KIF1B,KLF4,LIF,LMNA,MYOD1,MYOG,NBR1,PDGFA,PDPN,PEX13,PLEC,PTPN11,RALA,SMAD2,SMAD4,SMAD5,SQSTM1,VEGFA	2	congenital anomaly of musculoskeletal system,neonatal death	10% (2/20)
8.765	75	17	bardoxolone,crocidolite asbestos,DDX5,deferoxamine,doxifluridine,hydroxyurea,IGF2,INS,JAK2,Jnk,mitomycin C,NR4A1,ozone,paclitaxel,Pdgf (complex),quinolinic acid,TNFRSF1A	55	AKR1C1/AKR1C2,BAX,BCL2,BTG2,CAT,CCL7,CDC42EP3,CDKN1A,CHUK,CTNNB1,CXCL2,DDIT3,ENPP2,FAS,FGF2,FLT1,FOS,FOXO1,FOXO3,G0S2,GADD45A,HSP90AB1,HSPA5,IDH1,IER3,ITGB5,JUN,MAT2A,MCL1,MT1E,MYC,NFATC1,NFE2L2,NFKB1,NFKBIA,NR4A3,OSMR,PDK4,PFN1,PIK3R1,PPARG,PPP1R3C,RELA,SAA1,SCN1B,SMAD4,SMAD7,SNRPG,SPTB,SQSTM1,SREBF1,SVIL,THBD,TUBA4A,VEGFA	3	apoptosis of cervical cancer cell lines,liver cancer,renal cancer	20% (10/51)
8.549	48	8	cadmium,clozapine,ETS2,homocysteine,norepinephrine,PDGF BB,SU6656,thapsigargin	37	ADRA1D,AR,ATF3,CDKN1A,CSF3,CTNNB1,CYR61,DUSP1,FGF2,FGFR1,FLT1,FOS,GDNF,GNB2L1,HMOX1,HSPA5,IGF2,JUN,KRAS,LIF,MAP2,MAT2A,MT1E,MT1H,MYC,NFE2L2,NPPA,NR4A3,PDE4B,PDE4D,PDGFRB,PPARG,PRDX1,PRNP,RAF1,SREBF1,VEGFA	3	cell death of renal tubule,failure of kidney,liver cancer	4% (1/24)
8.333	20	10	brefeldin A,cadmium chloride,fluoride,IL24,luteolin,PI3K (family),S-nitroso-N-acetyl-DL-penicillamine,TSC1,TSC2,XBP1	9	BNIP3,CDKN1A,CTNNB1,DDIT3,FAS,HLA-B,HMOX1,IL18,NFE2L2	1	injury of liver	10% (1/10)
8.315	33	6	DDX5,di(2-ethylhexyl) phthalate,doxifluridine,F7,hydroxyurea,mitomycin C	22	AR,BAX,CCND2,CDKN1A,CTGF,CXCL2,EGR1,FAS,FOS,GADD45A,GPX1,HBEGF,JUN,LIF,MUS81,MYC,POR,PPP1R15A,RELA,SNRPG,VEGFA,ZFP36	5	apoptosis of cervical cancer cell lines,Growth Failure,morphology of cardiovascular system,morphology of connective tissue,renal cancer	10% (3/30)
8.292	29	6	amphetamine,BMP2,formaldehyde,MST1R,PRKCB,quinolinic acid	21	ATF3,ATF6,BAX,BCL2,CDKN1A,CTNNB1,EGR1,FGF2,FGFR1,FOS,HSPA8,ID2,JUN,MYC,NFAT5,NGF,PPARG,SMAD4,SREBF1,VEGFA,ZBTB16	2	apoptosis of fibroblast cell lines,liver cancer	8% (1/12)
8.083	18	3	adenosine,ELAVL1,ELF4	12	ATF3,CDKN1A,DUSP1,FOS,HMOX1,HSPA5,KLF4,MYOD1,MYOG,RAP1B,RELA,VEGFA	3	apoptosis of neurons,hypertrophy of cells,perinatal death	0% (0/9)
8.050	10	1	NREP	5	FGF2,PDGFA,PDGFB,PDGFRB,VEGFA	4	Hypertrophy,organismal death,proliferation of tumor cell lines,quantity of cells	0% (0/4)
8.004	25	4	bardoxolone,ELAVL1,FGF4,TGFA	17	CDKN1A,CEBPG,CTGF,CTNNB1,DDX5,FOS,HMOX1,MYOD1,MYOG,NFKBIA,PRNP,RPS6,SNRPG,SQSTM1,SRSF7,VEGFA,WNT5A	4	congenital anomaly of musculoskeletal system,formation of plasma membrane projections,perinatal death,processing of RNA	13% (2/16)
7.559	40	10	brefeldin A,kainic acid,L-glutamic acid,ozone,palmitic acid,PDGFB,phenylephrine,quinolinic acid,TCR,thapsigargin	28	AR,BCL2,CDKN1A,FGF2,FOS,HSPA5,JUN,LMO2,MAP2,MYC,NFATC1,NFE2L2,NFKB1,NR4A3,PDGFRB,PDK4,PIK3R1,PPARG,PRNP,RELA,RHOA,RIPK1,SMAD1,SQSTM1,SREBF1,TNFRSF1A,TNFRSF1B,TXNIP	2	formation of embryonic tissue,liver cancer	5% (1/20)
7.276	26	8	8-bromo-cAMP,EGR2,LIF,MAP2K1/2,MAP2K4,PPIF,PRKCE,Sb202190	17	CITED2,CSF3,CTGF,FGF2,FOS,HBEGF,HEY1,HOXB3,IL6R,JUN,MYOD1,NFKB1,PDGFA,PPARG,SMAD1,VEGFA,WNT5A	1	development of connective tissue	0% (0/8)
7.248	50	13	beta-1,3-glucan,CHRM1,Endothelin,HDAC6,IKBKAP,lisinopril,miR-140-5p (and other miRNAs w/seed AGUGGUU),N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine,NREP,PDGFC,PLC,RPS6KA4,RPS6KA5	32	ACE,ACHE,AR,COL1A2,CTNNB1,CYR61,DUSP1,EGR1,EGR3,FGF2,FLT1,FOS,GSK3B,HDAC4,IGF1,IGFBP5,ITGB3,JUN,JUNB,MYC,ODC1,PDGFA,PDGFB,PDGFRB,RELA,RGS4,RHOA,SLC9A1,SMAD3,SRSF2,TGFBR1,VEGFA	5	congenital anomaly of musculoskeletal system,organismal death,proliferation of muscle cells,proliferation of tumor cell lines,quantity of cells	20% (13/65)
6.835	26	7	Hdac,let-7a-5p (and other miRNAs w/seed GAGGUAG),losartan potassium,medroxyprogesterone acetate,methamphetamine,morphine,nitric oxide	18	ABCC1,BAX,BCL2,BCL6,CTNNB1,DDIT3,FAS,FOS,FOXO1,IER3,IGF1,KRAS,MAP2K1,MYC,NF2,NFE2L2,TFRC,TNFRSF1A	1	apoptosis of kidney cell lines	0% (0/7)
6.803	37	6	BAPTA-AM,DACH1,Histone h3,MYF5,NCOR1,platelet activating factor	28	ACKR3,ATF3,CCND2,CDKN1A,CEACAM1,CTNNB1,DUSP1,FGF2,FGFR1,FLT1,FOS,GDNF,HES1,HOXB1,ID2,JUN,KLF4,MPZ,MYOD1,MYOG,NCOR2,NFKBIA,PDGFA,PPARG,RUNX2,SREBF1,VEGFA,XBP1	3	Hypertrophy,neonatal death,proliferation of breast cancer cell lines	17% (3/18)
6.708	35	14	2-amino-5-phosphonovaleric acid,6-cyano-7-nitroquinoxaline-2,3-dione,acetic acid,CAMK4,EPHB1,Fgf,formaldehyde,MAP2K6,miR-125b-5p (and other miRNAs w/seed CCCUGAG),PRDM5,RHOA,sphingosine-1-phosphate,Wnt,WNT11	20	CDKN1A,CKLF,CTNNB1,E2F3,ELAVL1,FGF2,FOS,ID2,ID3,IGF1,IL6R,JUN,JUNB,MYC,MYOG,ODC1,PDGFB,PPARG,RELA,THBD	1	proliferation of muscle cells	29% (4/14)
6.688	50	12	arsenite,bardoxolone,CHRM1,DDX5,doxifluridine,hydroxyurea,lisinopril,mitomycin C,MYF5,NCOR1,Stat3-Stat3,TGFA	34	BAX,CDKN1A,CEBPG,CTGF,CTNNB1,CYR61,DDIT3,FAS,FOS,FST,GADD45A,GPX1,GSTP1,HBEGF,HMOX1,IER3,IGF1,JUN,JUNB,MARCKS,MCL1,MT1H,MYC,MYOD1,MYOG,NFKBIA,NR4A1,PDGFA,PDGFRB,PPARG,PPP1R15A,SNRPG,VEGFA,WNT5A	4	angiogenesis,apoptosis of cervical cancer cell lines,perinatal death,renal cancer	17% (8/48)
6.641	18	7	EGR2,FSH,IGF1,MAT1A,phorbol myristate acetate,tetrachlorodibenzodioxin,TGFB1	10	ACE,ARNT,FGF2,FGFR1,GDNF,HMGB1,NFAT5,SMAD3,SMAD5,VEGFA	2	interstitial nephritis,vascularization of extraembryonic tissue	0% (0/14)
6.500	24	4	lisinopril,NREP,Stat3-Stat3,tempol	16	ACE,CAT,CDKN1A,CXCL2,FGF2,FOS,JUN,MYC,PDGFA,PDGFB,PDGFRB,RELA,SGK1,SP1,VEGFA,WNT5A	4	angiogenesis,cell death of breast cancer cell lines,organismal death,quantity of cells	0% (0/16)
6.261	12	2	COPS5,TOPBP1	5	ABL1,BAX,CD247,CDKN1A,GADD45A	5	apoptosis of cervical cancer cell lines,development of head,Hypertrophy,renal cancer,Rheumatic Disease	10% (1/10)
6.194	32	11	amphetamine,beta-naphthoflavone,CD 437,HSPA5,leuprolide,medroxyprogesterone acetate,methamphetamine,nimodipine,pyruvic acid,TERT,YAP1	19	ABCC1,ATF3,BAX,BCL2,BNIP3,CDKN1A,CYR61,DDIT3,EGR1,FAS,FOS,FOXO1,FTH1,ID2,JUN,MYC,NFKBIA,SMAD7,TNFRSF1A	2	apoptosis of fibroblast cell lines,apoptosis of kidney cell lines	32% (7/22)
5.880	23	8	ATF2,butyric acid,Ca2+,CSK,ELAVL1,nitric oxide,Notch,vorinostat	14	AGTR1,ATF3,CTGF,DUSP1,H2AFZ,HMGB1,IER3,IL18,MYOD1,NFKBIA,NPPA,PTK2,RAF1,RHOA	1	hypertrophy of cardiomyocytes	25% (2/8)
5.735	26	5	etoposide,FGF4,IL1A,seocalcitol,VitaminD3-VDR-RXR	19	CDKN1A,COL1A2,CTNNB1,FGF2,FGFR1,FOXO1,GADD45A,HSD11B1,JUN,NBR1,NR3C1,PDGFA,PDGFB,PEX13,PFKM,SQSTM1,TP63,VEGFA,WNT5A	2	congenital anomaly of musculoskeletal system,formation of muscle	0% (0/10)
5.667	15	5	ELAVL1,ELF4,epothilone B,miR-21-5p (and other miRNAs w/seed AGCUUAU),NELFB	9	ATF3,BTG2,CDKN1A,DUSP1,FAS,FOS,HMOX1,PIK3R1,VEGFA	1	apoptosis of neurons	0% (0/5)
5.093	27	6	DACH1,DDX5,ELK1,mitomycin C,PRKCB,TOPBP1	17	ABL1,BAX,CDKN1A,CTNNB1,EGR1,FAS,FGF2,FGFR1,FOS,GADD45A,HBEGF,JUN,KLF4,MCL1,MECOM,MYC,NUPR1	4	apoptosis of cervical cancer cell lines,apoptosis of fibroblast cell lines,proliferation of breast cancer cell lines,renal cancer	25% (6/24)
4.973	47	12	cyclopiazonic acid,fluocinolone acetonide,honokiol,KL,Lh,MAP2K3,MAP3K1,MAPK3,PRDX2,RHO,T3-TR-RXR,TFAP2C	34	ADAMTS1,AKR1C1/AKR1C2,AKR1C3,AQP1,AR,ATF3,BAX,BCL2,CCND2,CDKN1A,CEBPD,COL4A1,CTGF,CTNNB1,CXCL2,FAS,FLT1,FOS,FST,HMOX1,MAP2K1,MITF,MT1E,MT1H,MYC,PDLIM3,PPARG,RELA,RGS4,RHOB,RUNX2,SLC16A3,SMAD3,VEGFA	1	metastasis	8% (1/12)
4.743	16	5	bucladesine,FGFR1,methyl methanesulfonate,Salmonella enterica serotype abortus equi lipopolysaccharide,SMAD2	10	BCL2,CDKN1A,CSF3,FGF2,HES1,KLF4,LIF,PPM1D,SMAD7,WNT5A	1	self-renewal of cells	20% (1/5)
4.696	27	6	EP300,GFI1,INSR,norepinephrine,PDGF BB,SU6656	20	ACHE,ADRA1D,AR,ATF3,CDKN1A,CYR61,DUSP1,FLT1,GDNF,HMOX1,MT1E,MT1H,NPPA,PDE4B,PDE4D,PPARG,SMAD3,TNFRSF1A,TXNIP,VEGFA	1	failure of kidney	17% (1/6)
4.500	25	8	ADCYAP1,cisplatin,HDAC5,kainic acid,L-glutamic acid,PDGFB,PDX1,phenylephrine	16	CREBBP,CTNNB1,ENPP2,FGF2,FLT1,FOS,JUN,LMO2,LMO4,MARCKS,MYC,PDGFRB,RAC1,RHOA,SMAD1,TNFRSF1A	1	formation of embryonic tissue	0% (0/8)
4.459	42	4	bucladesine,FGFR1,methyl methanesulfonate,prostaglandin A2	34	ADAMTS1,AR,BCL2,CCND2,CDKN1A,DDIT3,DUSP1,ELAVL1,FGF2,FOS,FOXO1,GADD45A,HES1,HMOX1,HSD11B1,IGF1,IGF2,IGFBP5,JUN,KLF4,LIF,MCL1,MYC,NFKB1,NGF,NR4A1,NR4A3,PDE4D,PPM1D,PPP1R15A,SLC2A4,SMAD3,SNAP25,THBD	4	arthritis,congenital anomaly of musculoskeletal system,morphology of cardiovascular system,self-renewal of cells	25% (4/16)
4.366	113	12	4-nonylphenol,BCL2,brefeldin A,CEBPA,CSF3,F7,ionomycin,metformin,PPARG,quinolinic acid,thapsigargin,U0126	97	ABCA1,ACKR3,AGTR1,AKR1C1/AKR1C2,AR,ATP2A2,BCL6,CAT,CCND2,CDKN1A,CEBPD,COL1A2,COL4A1,CTGF,CTNNB1,CTSK,CXCL12,CYR61,DICER1,DVL3,ELL,ENPP2,FAS,FGF2,FLT1,FOS,FOXO1,FOXO3,GADD45A,GDNF,GSK3B,GSTP1,HADHA,HBEGF,HMOX1,HSD11B1,HSP90AB1,HSPA5,ID2,IDUA,IER3,IGF1,IGFBP4,IGFBP5,IGFBP7,INSIG1,IRS1,ITGB5,JUN,KLF10,LIF,LPL,MAP2,MT2A,MYC,MYF6,MYOD1,NCOA6,NFAT5,NFATC1,NFE2L2,NPPA,NR1H2,NR4A3,NTRK3,OSMR,PDE3B,PDK4,PLXND1,PPARGC1A,PPP1R15A,PPP1R3C,PRNP,RAC1,RELA,RUNX2,SCN1B,SLC2A4,SMAD3,SNAP25,SQSTM1,SREBF1,STAT5B,SVIL,TFRC,TGFB3,THBD,TNFRSF1A,TNFRSF1B,TNNI3,TPM1,TRIB1,UCP3,VEGFA,XBP1,YWHAE,ZFP36	4	glioma,liver cancer,morphology of cardiovascular system,morphology of connective tissue	23% (11/48)
4.276	20	4	cadmium chloride,miR-29b-3p (and other miRNAs w/seed AGCACCA),PCGF2,PLIN5	14	CDC25A,COL4A1,DDIT3,GADD45A,HMOX1,MYC,NFE2L2,NFKB1,NOTCH3,POR,PURA,SMAD3,SRSF10,ZFP36L1	2	Growth Failure,injury of liver	25% (2/8)
4.025	26	4	carbamylcholine,EIF2AK3,potassium chloride,SERCA	20	ATF5,BTG2,CHUK,DDIT3,EGR1,ETS2,FGF2,HSPA5,ID3,IGF1,JUN,MYC,NR3C1,PIK3R1,PPP1R15A,SNW1,TXNIP,VEGFA,XBP1,ZFP36	2	Hypoplasia,Viral Infection	13% (1/8)
3.883	18	2	N-[N-(3,5-difluorophenacetyl-L-Ala)]-S-phenylglycine t-butyl ester,propofol	13	AQP4,BAX,BCL2,DLL4,EGR1,FLT1,FOS,HES1,HEY1,HMGB1,HMOX1,PDGFB,ZFP36	3	arthropathy,development of body axis,organismal death	33% (2/6)
3.750	28	12	ATF4,CRY2,diethylstilbestrol,DKK1,HDAC2,JAG1,lisinopril,lysophosphatidic acid,NREP,RBL2,SREBF1,TGFBR2	16	AR,BCL2,CDKN1A,FST,HEY1,HEYL,IGF1,JUN,MYOD1,PDGFB,PDGFRB,SIX1,SMAD3,SMN1/SMN2,THBD,VEGFA	1	quantity of muscle cells	8% (1/12)
3.677	73	18	2-amino-5-phosphonovaleric acid,6,7-dinitroquinoxaline-2,3-dione,6-cyano-7-nitroquinoxaline-2,3-dione,acetic acid,APC,aplidine,CSF2RA,CSF2RB,dibutyl phthalate,EGR2,EIF2AK3,EPHB1,ERN1,formaldehyde,GNRH,RBL1,salmonella minnesota R595 lipopolysaccharides,SU6656	50	AR,ATF3,BAX,BCL2,BCL3,CCL7,CCND2,CDKN1A,CTGF,CTNNB1,CXCL2,EGR1,FAS,FGF2,FOS,FOXN1,GADD45A,GDNF,HES1,HOXB3,ID3,IER3,IGF1,IGF2,IL6R,JUN,JUNB,LAMA2,LPL,MAFF,MYC,NFE2L2,NFKB1,NFKBIA,ODC1,POR,PPP1R15A,RAP1B,RELA,ROBO1,SARS,SMAD1,TFRC,TXNIP,VEGFA,VEGFB,XBP1,YARS,ZFP36,ZFP36L1	5	angiogenesis,development of connective tissue,Hypoplasia,morphology of cardiovascular system,vasculogenesis	11% (10/90)
3.618	16	2	beta-naphthoflavone,PLC	11	BAX,CYR61,EGR3,FOS,FTH1,GCLM,GSTP1,MYC,NR4A1,ODC1,SAA1	3	cell death of fibroblast cell lines,quantity of blood cells,vasculogenesis	17% (1/6)
3.606	18	4	acetaminophen,bezafibrate,pirfenidone,vitamin K3	13	BAX,BCL2,BNIP3,CAT,CDKN1A,DDIT3,FAS,FOS,MYC,PPARG,SMAD2,SMAD3,SMAD4	1	apoptosis of hepatoma cell lines	25% (1/4)
3.556	92	7	BCL2,CSF3,EGF,F7,ionomycin,metformin,thapsigargin	81	ABCA1,ABI1,AGTR1,AHNAK,AR,ATP2A2,BAX,BCL6,BTG2,CCND2,CDKN1A,CEBPD,CTGF,CXCL2,CYR61,DDX5,DICER1,DVL3,E2F3,ETS2,FAS,FGF2,FLT1,FOS,GADD45A,GDNF,GSTP1,HBEGF,HMOX1,HSPA5,IDH1,IER3,IGF1,IGF2,IGFBP4,IGFBP5,IL1R1,INSIG1,IRS1,ITGB3,JUN,KLF10,KRAS,LIF,MYC,NCOA2,NFAT5,NFATC1,NFE2L2,NFKBIA,NPPA,NR4A3,PDGFRB,PDK4,PDPN,PFKM,PPARG,PPP1R15A,PRNP,RALA,RELA,RHOA,RUNX2,SLC2A4,SMAD1,SMAD3,SNAP25,SPRY2,SQSTM1,SREBF1,STAT5B,TFRC,TGFB3,TNFRSF1A,TNFRSF1B,TNNI3,ULK1,VEGFA,XBP1,XRCC6,ZFP36	4	liver cancer,morphology of cardiovascular system,morphology of connective tissue,renal cancer	21% (6/28)
3.464	6	1	pentobarbital	3	JUN,JUNB,NR4A1	2	angiogenesis,vasculogenesis	0% (0/2)
3.392	135	13	cocaine,CSF2,cyclic AMP,E. coli B5 lipopolysaccharide,EGF,F7,hydrogen peroxide,ionomycin,metformin,SB203580,tunicamycin,Vegf,WT1	119	ABCA1,ABI1,ACE,ACKR3,AHNAK,AR,ATP2A2,BAX,BCL2,BCL6,BTG2,CAT,CCL7,CCND2,CDKN1A,CEBPD,CKMT2,COL4A1,CREBBP,CRK,CTGF,CTNNB1,CTSK,CXCL2,DDX5,DICER1,DLL4,DVL3,E2F3,EEF1B2,EFEMP2,ENPP2,ETS2,FAS,FGF2,FLT1,FOS,FOSL2,GAB1,GADD45A,GSTP1,HBEGF,HMOX1,HSD11B1,ID3,IER3,IGF1,IGF2,IGFBP4,IGFBP5,IL18,IL1R1,IRS1,ITGB3,JUN,KLF1,KLF10,KRAS,LIF,LMO2,MED13,MEOX2,MITF,MT1H,MYC,MYOD1,NCOA2,NFAT5,NFATC1,NFE2L2,NFKBIA,NOL3,NOTCH3,NPPA,PDGFA,PDGFB,PDGFRB,PDK4,PDPN,PDXK,PFKM,PIM3,PPARG,PPARGC1A,PPP1R15A,PRDX1,PRDX2,PSAP,PTK2,RAC1,RALA,RALBP1,RELA,RHOA,RIPK1,RUNX2,SERPINH1,SLC11A2,SLC2A4,SMAD1,SMAD3,SMAD5,SNAP25,SPRY2,SRSF6,STAT5B,TFRC,TGFB3,THBD,TNFRSF1A,TNFRSF1B,TRIB1,TUBA4A,TXNIP,UCP3,ULK1,VEGFA,XBP1,ZFP36	3	morphology of cardiovascular system,morphology of connective tissue,renal cancer	21% (8/39)
3.138	38	11	clozapine,CRY1,EZR,haloperidol,HINT1,MAPK8,nifedipine,prazosin,propofol,prostaglandin A2,trans-hydroxytamoxifen	26	ANKH,CDKN1A,CXCL12,DUSP1,FAS,FGF2,FOS,FOXO1,FTH1,HMGB1,HMOX1,IGF1,IGFBP4,IGFBP5,IL1R1,NGF,NR3C1,NR4A1,NR4A3,PRPS1,SCN1B,SMAD3,TPSAB1/TPSB2,VEGFA,WNT5A,ZFP36	1	arthritis	18% (2/11)
3.098	18	2	N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine,okadaic acid	15	BCL6,BNIP3,CCND2,CCNG2,CTNNB1,EGR1,FOS,GSK3B,JUN,JUNB,KLF4,MYC,ODC1,SLC9A1,SRSF3	1	proliferation of tumor cell lines	100% (2/2)
3.051	19	2	miR-29b-3p (and other miRNAs w/seed AGCACCA),N-methyl-D-aspartate	13	BAX,COL4A1,EGR1,FOS,KLF4,PIK3R1,PURA,SAA1,SLC1A3,SRSF10,TGFB3,YY1,ZFP36L1	4	development of head,Growth Failure,perinatal death,renal cancer	0% (0/8)
3.000	7	1	RGS2	4	CEBPD,HBEGF,IL18,PPARG	2	proliferation of breast cancer cell lines,vasculogenesis	0% (0/2)
3.000	7	2	ACOX1,FGF2	4	CDKN1A,GADD45A,GDNF,HSD11B1	1	hyperplasia of kidney	0% (0/2)
2.985	29	4	EGR2,EIF2AK3,miR-125b-5p (and other miRNAs w/seed CCCUGAG),PRDM5	22	ADAMTS1,CKLF,DICER1,E2F3,ELAVL1,FGF2,FOS,HOXB3,ID2,ID3,IGF1,IGF2,IL6R,JUN,KLF4,LAMA2,MYC,RUNX2,SMAD1,VEGFA,XBP1,ZFP36	3	development of connective tissue,Hypoplasia,proliferation of muscle cells	17% (2/12)
2.481	75	7	CSF3,doxorubicin,F7,HGF,ionomycin,metformin,tunicamycin	65	ABCA1,ACKR3,AGTR1,AR,ATP2A2,BCL2,CASR,CAT,CCND2,CDKN1A,COL4A1,CTGF,CTSK,DICER1,DVL3,FAS,FLT1,GAB1,GADD45A,GDNF,HBEGF,HMOX1,HSD11B1,IER3,IGF1,IGFBP4,IGFBP7,IRS1,JUN,LGMN,LIF,MEOX2,MERTK,MYC,NCOA2,NFAT5,NFATC1,NOL3,NPPA,PDGFA,PFKM,PLOD1,PPARG,PRDX1,PSAP,RAC1,RELA,RUNX2,SLC2A4,SMAD3,SMAD5,SMAD7,SPRY2,STAT5B,TFRC,TGFB3,THBD,TNFRSF1A,TNFRSF1B,TNNI3,TRIB1,TXNIP,VEGFA,XBP1,ZFP36	3	chronic renal failure,morphology of cardiovascular system,morphology of connective tissue	29% (6/21)
